source,event,date,replicate,window_idx,t_start_s,t_end_s,dop_mean,dop_std,dop_min,dop_max,step_mean,step_std,step_max,step_rms,step_p95,cum_arc,theta_mean,theta_std,theta_max,theta_rms,psd_peak_freq,psd_peak_power,bp_low,bp_mid,bp_high,s1_std,s2_std,s3_std,s1_range,s2_range,s3_range
DPQPSK-200G,MB,310326,2,19,57.0001,63.0001,1.0,8.507820038061322e-17,0.9999999999999998,1.0000000000000002,9.134230451685386,5.6073679454007115,51.371986197816454,10.718056783746016,19.2378837265154,76161.21350615275,9.407930687125063,6.3175371197054195,65.66750915973171,11.332274046836552,11.224856321874409,0.000293777205799814,0.002390215887807358,0.0010267661183038645,0.0025194455335604193,0.09700513477523899,0.14940075579574424,0.07834966194068099,1.0101017901840832,1.2943009786006665,0.5528995776381017
DPQPSK-200G,MB,310326,2,20,60.0001,66.0001,1.0,8.400211076761886e-17,0.9999999999999997,1.0000000000000002,8.970216156106343,5.702514805053995,75.74553114223099,10.629367478318326,18.96303515077878,74372.06215027769,10.366378868365976,11.63649452232566,133.17132776330877,15.584281042467751,5.612428160879907,0.000955717825316194,0.0057819869833884725,0.0013558146388021135,0.002616267176320573,0.10153836496930312,0.2024815356393784,0.11191431164419678,1.3272446044152248,1.7165315358660078,1.5469006191608927
DPQPSK-200G,MB,310326,2,21,63.0001,69.0001,1.0,8.438504559269602e-17,0.9999999999999997,1.0000000000000002,9.394698410902135,6.198281590299959,75.74553114223099,11.255178937025324,20.303880612149445,77966.60211207683,12.0952155566249,15.067269718381212,133.17132776330877,19.321409268675733,5.612428160879907,0.0016200260877264005,0.009700000634798775,0.0025351051119919354,0.00311490089825414,0.12020686520339556,0.24956362976771054,0.13368247115005968,1.3336900940903271,1.719539526965019,1.5469006191608927
DPQPSK-200G,MB,310326,2,22,66.0001,72.0001,1.0,8.474002232504221e-17,0.9999999999999997,1.0000000000000002,9.791544006553384,6.758251615285342,77.67977818532418,11.897407235518939,21.562757879241644,81387.31378247173,13.170949275665606,17.752567456793653,145.10831767902798,22.104921536394684,5.612428160879907,0.0014848965125372874,0.008895913383171212,0.003136947395871148,0.0036478445810871167,0.13061416765195052,0.27800168690959093,0.15796290873355193,1.7798417885970763,1.6607019156143477,1.5747360285327376
DPQPSK-200G,MB,310326,2,23,69.0001,75.0001,1.0,8.40690928030427e-17,0.9999999999999998,1.0000000000000002,9.748627402897329,7.111968258797819,77.67977818532418,12.067138383008144,21.85020440560143,80816.12117001886,13.727796018784003,18.866299847196398,145.10831767902798,23.332159211218855,5.604375896680925,0.0009415171298318212,0.005767119741316563,0.002307465113332828,0.0035638404101955845,0.1259592110040878,0.3063810688485854,0.15453778689760916,1.7798417885970763,1.664874190009583,1.574730696403593
DPQPSK-200G,MB,310326,2,24,72.0001,78.0001,1.0,8.393883741848352e-17,0.9999999999999998,1.0000000000000002,9.000125649013194,6.267738020706838,66.67132225187807,10.967533979625468,19.47247376466707,74890.04552543879,11.85279883256043,15.325186243075215,127.65208590797562,19.373956063491207,5.604375896680925,0.0006922560612828658,0.005395569714501874,0.0032664798051449933,0.0028831747866230376,0.10612565485668342,0.27027024906817754,0.11072982469833217,1.3336905061832987,1.670551247158361,1.3117033709859678
DPQPSK-200G,MB,310326,2,25,75.0001,81.0001,1.0,8.381637379998368e-17,0.9999999999999998,1.0000000000000002,9.155224366665257,6.086889355064573,70.61265892474485,10.994014518126656,19.634654911834073,76098.22493572162,14.917638754555279,25.259467535127225,160.19580292383094,29.335586685279637,5.612428160879907,0.0014407582006469822,0.007924588658830367,0.005742533920404398,0.0030231749654756517,0.1335128992854675,0.32244179529461364,0.23033069522334126,1.518068882519257,1.676596494487864,1.6874070053218997
DPQPSK-200G,MB,310326,2,26,78.0001,84.0001,1.0,8.441763571706924e-17,0.9999999999999997,1.0000000000000002,9.520953035256248,6.328528376747164,70.61265892474485,11.43235837939177,20.229828709074646,78624.03016514609,14.57524798993843,24.445145969585393,160.19580292383094,28.460551917391577,5.604375896680925,0.0012280035155168877,0.007639987253467097,0.005514157853710963,0.0035937982454909033,0.13822081621687296,0.3022930750821423,0.23037341679672924,1.5886733201089553,1.676596494487864,1.6874070053218997
DPQPSK-200G,MB,310326,3,0,0.0001,6.0001,1.0,8.303132987096823e-17,0.9999999999999997,1.0000000000000002,8.947968928599341,5.404935244013467,62.08956177536732,10.453682266988897,18.63693652314065,73597.04443772958,9.38364383585292,6.715224615687389,91.2623297820415,11.538934668212413,5.60437589670235,0.00012146036261868345,0.0008882911721387109,0.0006278029555782117,0.0029769253180439216,0.09404157490844808,0.1454671114008248,0.0883198879217056,1.0948680873910042,1.4291463400368256,0.5518801904540762
DPQPSK-200G,MB,310326,3,1,3.0001,9.0001,1.0,8.361798353061563e-17,0.9999999999999997,1.0000000000000002,8.788601388334785,5.180919721404755,53.27480323468923,10.202031342957188,18.38580887693385,71600.7355107635,9.233086392122575,6.700983553944405,74.66199385271345,11.408464616881293,11.176680972818229,0.00013875685217245855,0.0013010310824042677,0.0008170912425442312,0.002756235926346089,0.09898773678986011,0.1412487610315383,0.09040157709239004,1.126430429244395,1.400699253824159,0.5516900277085427
