Time_s,S0,S1,S2,S3
0.356783,0.039032,-0.158020,-0.787750,-0.599060
0.357436,0.040833,-0.193390,-0.654724,-0.734833
0.358122,0.040131,-0.262573,-0.666687,-0.698639
0.358783,0.037170,-0.146057,-0.727753,-0.673279
0.359454,0.038361,-0.261322,-0.645752,-0.718597
0.360269,0.045410,-0.229095,-0.757721,-0.614563
0.360921,0.042816,-0.164490,-0.717133,-0.679840
0.361663,0.039215,-0.321625,-0.680756,-0.664337
0.362412,0.034180,-0.301697,-0.628510,-0.717896
0.363198,0.045715,-0.275391,-0.712585,-0.647369
0.363917,0.038757,-0.269592,-0.654358,-0.708710
0.364567,0.038086,-0.201935,-0.771637,-0.603394
0.365220,0.042816,-0.352570,-0.544891,-0.764984
0.365892,0.040436,-0.302277,-0.668182,-0.686371
0.366559,0.032379,-0.340027,-0.585724,-0.742859
0.367330,0.041534,-0.378326,-0.696930,-0.615051
0.368018,0.046265,-0.199219,-0.762970,-0.619537
0.368703,0.042206,-0.254364,-0.676117,-0.695679
0.369403,0.040100,-0.237213,-0.753510,-0.613983
0.370200,0.041748,-0.310059,-0.720551,-0.624481
0.370924,0.044678,-0.149292,-0.739349,-0.661163
0.371752,0.047668,-0.245178,-0.710449,-0.664093
0.372456,0.036652,-0.337524,-0.675018,-0.660004
0.373320,0.047577,-0.342926,-0.729889,-0.597717
0.374218,0.041534,-0.305328,-0.703552,-0.646027
0.375012,0.040619,-0.116547,-0.750000,-0.652557
0.375741,0.036865,-0.262512,-0.542511,-0.802521
0.376511,0.037048,-0.266022,-0.613312,-0.743866
0.377223,0.040710,-0.305450,-0.662903,-0.690063
0.378107,0.044037,-0.292542,-0.657684,-0.699188
0.379011,0.041107,-0.221008,-0.727692,-0.654022
0.379979,0.044128,-0.258362,-0.668762,-0.702087
0.380841,0.041534,-0.238953,-0.705780,-0.670380
0.381731,0.042114,-0.223938,-0.700012,-0.680450
0.382564,0.037354,-0.291687,-0.676483,-0.678925
0.383437,0.048309,-0.185120,-0.562988,-0.807281
0.384268,0.047729,-0.117889,-0.627380,-0.769989
0.385145,0.043854,-0.135437,-0.577087,-0.808350
0.385916,0.042877,-0.112091,-0.590546,-0.799591
0.386690,0.040680,-0.104889,-0.741577,-0.664795
0.387543,0.045563,-0.092377,-0.702820,-0.706848
0.388318,0.041229,-0.149780,-0.596924,-0.790771
0.389196,0.043793,-0.212891,-0.632812,-0.746094
0.389965,0.039856,0.000000,-0.658386,-0.757935
0.390713,0.047424,-0.226929,-0.707703,-0.669250
0.391445,0.046814,-0.100800,-0.596924,-0.798462
0.392309,0.044159,-0.220856,-0.600006,-0.770844
0.393089,0.040100,-0.183502,-0.502319,-0.848633
0.393886,0.040985,-0.144470,-0.695557,-0.704468
0.394716,0.041687,-0.343628,-0.607941,-0.718079
0.395574,0.044128,-0.245880,-0.582672,-0.774811
0.396351,0.045715,-0.135834,-0.574829,-0.811035
0.397168,0.043427,-0.179932,-0.667389,-0.725952
0.397894,0.047882,-0.125977,-0.742371,-0.658417
0.398675,0.042236,-0.148834,-0.694458,-0.706360
0.399378,0.050476,-0.213776,-0.681183,-0.702911
0.400227,0.038849,-0.205200,-0.497650,-0.846710
0.400962,0.039429,-0.174438,-0.618622,-0.767456
0.401759,0.045654,-0.250000,-0.656799,-0.716125
0.402482,0.045837,-0.143433,-0.629486,-0.764954
0.403194,0.042816,-0.142578,-0.597900,-0.789368
0.403888,0.040039,-0.219208,-0.671234,-0.712341
0.404576,0.045685,-0.180023,-0.628021,-0.758026
0.405379,0.045807,-0.192017,-0.638000,-0.750000
0.406046,0.041382,-0.147583,-0.563904,-0.815002
0.406842,0.042450,-0.047211,-0.641632,-0.766113
0.407535,0.044434,-0.179016,-0.607025,-0.775726
0.408224,0.042145,-0.230438,-0.556549,-0.802185
0.408880,0.045502,-0.118500,-0.702820,-0.704834
0.409589,0.041840,-0.186249,-0.635651,-0.751038
0.410339,0.050018,-0.263641,-0.592743,-0.761841
0.411055,0.042816,-0.102142,-0.617035,-0.785126
0.411736,0.037384,-0.128082,-0.652710,-0.751251
0.412409,0.043274,-0.261719,-0.564453,-0.787109
0.413100,0.043762,-0.145844,-0.645844,-0.752106
0.413820,0.047241,-0.191864,-0.684113,-0.707367
0.414601,0.045685,-0.212006,-0.662018,-0.720001
0.415299,0.047546,-0.217316,-0.517334,-0.828857
0.415973,0.044647,-0.120911,-0.655762,-0.747955
0.416723,0.039093,-0.130859,-0.574768,-0.810760
0.417431,0.040070,-0.101990,-0.733337,-0.674530
0.418098,0.043488,-0.173004,-0.548553,-0.820679
0.418875,0.044312,-0.162292,-0.692993,-0.706146
0.419537,0.049957,-0.093414,-0.723450,-0.688660
0.420196,0.040344,0.009125,-0.559387,-0.833344
0.420924,0.041107,-0.163330,-0.659302,-0.735901
0.421588,0.045013,-0.168518,-0.637390,-0.754608
0.422249,0.040985,-0.031250,-0.593750,-0.805817
0.422907,0.042358,-0.069885,-0.716187,-0.698700
0.423578,0.044495,-0.152893,-0.688019,-0.714905
0.424252,0.038422,-0.228577,-0.728577,-0.647644
0.424906,0.039246,-0.188385,-0.609314,-0.772095
0.425586,0.037323,-0.419525,-0.602448,-0.685394
0.426430,0.040802,-0.220734,-0.747772,-0.632904
0.427201,0.039978,-0.138275,-0.721222,-0.684357
0.428073,0.035278,-0.218750,-0.619812,-0.755219
0.428764,0.039948,-0.239441,-0.734772,-0.640869
0.429549,0.041718,-0.238007,-0.772949,-0.589539
0.430414,0.036682,-0.337952,-0.656128,-0.679871
0.431150,0.041992,-0.153534,-0.710541,-0.688599
0.431890,0.034424,-0.002686,-0.762054,-0.652435
0.432580,0.044434,-0.334961,-0.720886,-0.609253
